Question,Answer,Unigram_Recall,Unigram_Precision,Bigram_Recall,Bigram_Precision,Context
Dlabs ceo,The CEO of DLabs at I-Venture @ ISB is Saumya Kumar.,0.0157819225251076,1.0,0.0052631578947368,0.0052631578947368,
Dlabs CEO,The CEO of DLabs at I-Venture @ ISB is Saumya Kumar. Saumya Kumar also serves as the Director of I-Venture @ ISB.,0.0200860832137733,0.875,0.0052631578947368,0.0052631578947368,
Who is Aryan Jaiswal?,"Aryan Jaiswal is an Assistant Program Manager at I-Venture @ ISB. In his role, he is involved in the Technology Entrepreneurship Program – Tricity Edition, where he contributes to various activities such as providing tips on effective application processes and discussing the details of the program. His involvement helps in guiding and supporting student innovators and startups through their entrepreneurial journey.",0.0359778597785977,0.7358490566037735,0.0105088495575221,0.0105088495575221,
Who is the marcom manager?,The Marcom Manager at I-Venture @ ISB is Saikat Gupta.,0.0092421441774491,1.0,0.0025974025974025,0.0025974025974025,
who heads greatfour systems?,Pradeep Mittal is the CEO of GreatFour Systems. He is also listed as a member of the advisory board for I-Venture @ ISB.,0.0244755244755244,0.7,0.0056625141562853,0.0056625141562853,
"The tagline for I-Venture @ ISB is ""Inspire . Invest . Innovate.""","Yes, that's correct! The tagline for I-Venture @ ISB is ""Inspire . Invest . Innovate."" This reflects their commitment to fostering entrepreneurship by inspiring innovators, investing in promising startups, and promoting innovative practices in the business landscape.",0.025297619047619,0.4857142857142857,0.0044883303411131,0.0044883303411131,
give the address for dlabs,I could not find an answer.,0.003883495145631,0.3333333333333333,0.0,0.0,
what are bhagwan chowdhry's responsibilities at isb?,Bhagwan Chowdhry is the Faculty Director at i-Venture @ ISB.,0.0086021505376344,0.4,0.0,0.0,
what are bhagwan chowdhry's responsibilities at isb?,"Prof. Bhagwan Chowdhry holds significant responsibilities at the Indian School of Business (ISB), particularly in fostering entrepreneurship and nurturing startups. Here are some of his key roles:

- **Faculty Director of I-Venture @ ISB**: In this capacity, Prof. Chowdhry oversees the initiatives that support entrepreneurship at ISB. This includes administering business incubators and facilitating the transformation of startups into successful entrepreneurial ventures.

- **Mentorship and Guidance**: He is involved in drafting alumni members as mentors to help nurture startup ideas into scalable businesses. This mentorship plays a crucial role in providing both strategic and practical guidance to budding entrepreneurs.

- **Global Startup Ecosystem Integration**: Prof. Chowdhry is instrumental in creating a global corridor for startups, which helps Indian startups to explore and expand into international markets and vice versa. This initiative is aimed at enhancing the global reach of startups incubated at ISB.

- **Collaboration and Networking**: He works on engaging with various stakeholders within the entrepreneurship ecosystem, including other educational institutions, to host joint startup activities and bring teams together for collaborative opportunities.

- **Educational Initiatives**: Prof. Chowdhry is also involved in educational programs like the CM ST Entrepreneurship and Innovation (CMSTEI) scheme, which supports and promotes entrepreneurship among scheduled tribes in Telangana, in collaboration with the Tribal Cooperative Finance Corporation (TRICOR).

Through these roles, Prof. Bhagwan Chowdhry significantly contributes to the entrepreneurial landscape at ISB, supporting both the growth of individual entrepreneurs and the broader startup ecosystem.",0.096629213483146,0.5375,0.0328719723183391,0.0328719723183391,
What all start-ups are supported by dlabs?,"DLabs at the Indian School of Business (ISB) supports a variety of startups, particularly those working in innovative and emerging technology sectors such as AI, Blockchain, and DeFi. Here are some examples of the types of startups and initiatives supported by DLabs:

1. **Blockchain Impact Lab**:
   - This initiative is supported by S&P Global and focuses on nurturing innovations in the blockchain space. It serves as a central hub for startups engaged in blockchain technology.

2. **FinChain @ ISB powered by Broadridge**:
   - This global accelerator program is designed for startups working in AI, Blockchain, and DeFi. It offers comprehensive support including mentorship, capacity building, and networking opportunities to help these startups thrive and attract investor attention.

3. **LetsAuthor**:
   - Featured in the I-WIN Startup Stories, LetsAuthor is an independent publishing house that empowers authors to collaborate and co-author books. It is part of the I-WIN program at ISB, which supports women-founded and co-founded startups.

These examples illustrate the focus of DLabs on supporting startups that are innovative and have the potential to scale, particularly in the technology and digital sectors. The support provided includes mentorship, strategic partnerships, and access to a network of investors and industry experts, all aimed at accelerating the growth and success of these ventures.",0.0846432889963724,0.5384615384615384,0.0218281036834924,0.0218281036834924,
dlabs ceo,"The CEO of DLabs at I-Venture @ ISB is Saumya Kumar. Saumya Kumar holds a significant role in leading the initiatives at DLabs, which is part of the innovation and entrepreneurship arm of the Indian School of Business (ISB). His leadership is pivotal in fostering the growth and development of startups incubated under DLabs, providing them with the necessary resources, mentorship, and support to scale their operations.",0.048780487804878,0.68,0.0149122807017543,0.0149122807017543,
dlabs ceo,The CEO of DLabs at I-Venture @ ISB is Saumya Kumar. Saumya Kumar also serves as the Director of I-Venture @ ISB.,0.0200860832137733,0.875,0.0052631578947368,0.0052631578947368,
dlabs ceo,The CEO of dlabs is Saumya Kumar.,0.0054945054945054,0.4285714285714285,0.001058201058201,0.001058201058201,
What all start-ups are supported by dlabs?,I could not find an answer.,0.003883495145631,0.3333333333333333,0.0,0.0,
Who is the assistant program manager at aic isb?,"The assistant program managers at AIC ISB are Adarsh Naik, Saitejeswara Reddy, Aryan Jaiswal, Rakshith M Chengappa, and Omkardeep Singh Bhatia.",0.0126315789473684,0.2857142857142857,0.002466091245376,0.002466091245376,
give the address of dlabs.,I could not find an answer.,0.0038610038610038,0.3333333333333333,0.0,0.0,
dlabs ceo,The CEO of dlabs is Saumya Kumar.,0.0054945054945054,0.4285714285714285,0.001058201058201,0.001058201058201,
