Question,Answer,Unigram_Recall,Unigram_Precision,Bigram_Recall,Bigram_Precision,Context
Dlabs CEO,The CEO of DLabs at I-Venture @ ISB is Saumya Kumar.,0.0157819225251076,1.0,0.0052631578947368,0.0052631578947368,
Dlabs CEO,The CEO of DLabs at the Indian School of Business (ISB) is Saumya Kumar. He also serves as the Director of I-Venture @ ISB.,0.024390243902439,0.8095238095238095,0.0078947368421052,0.0078947368421052,
Are there any programs in Panchkula?,"Yes, there are programs in Panchkula. Specifically, the Technology Entrepreneurship Program (TEP) – Tricity Edition includes Panchkula as one of the regions it covers. Here are some details about the program:

### Technology Entrepreneurship Program – Tricity Edition
- **Regions Covered**: Mohali, Chandigarh, and Panchkula
- **Objective**: To provide an enabling platform for aspiring and budding student innovators in the Tricity region.
- **Focus Themes**:
  - Tech Innovations
  - Social Innovations
  - Rural Innovations

### Program Offerings
- **Ideation to Proof Of Concept**: Understanding the complete roadmap from ideation to POC and upscaling.
- **Access to ISB Mentor Community**: Technical and business mentorship from the best coaches of the ecosystem.
- **Business Acumen**: Deep dive into different domains of business including market analysis, customer needs, financial management, etc.
- **Pre-Incubation Support**: 3 months of curated engagement with mentors and specialized sessions for growth.
- **Product Development**: Access to prototyping facilities, tools, and resources to develop prototypes.
- **Fundraising Opportunities**: Preparing innovators for fundraising and introducing them to various opportunities.

### Program Timeline & Activities
- **August - September 2023**: Physical roadshows held at partnered engineering institutions in the region.
- **September 2023**: Selection of the best 30 teams for a 3-day physical bootcamp, followed by final pitching and selection of the best 10 teams for Pre-Incubation.
- **October - December 2023**: 3-month Pre-Incubation support at AIC-ISB, including in-person and virtual sessions on different aspects of entrepreneurship, concluding with a Demo Day.

### Key Activities During Bootcamp
- **Day-1 Modules**:
  - Target Market Identification
  - Product-Market Fit & Go-To-Market
  - Team Building
- **Day-2 Modules**:
  - Business Model Canvas
  - Keys to an Effective Pitch
  - Funding Opportunities for Students
- **Day-3 Module**:
  - Pitching

### Engagement During Pre-Incubation
- **Month – 1 [Technical Aspects]**:
  - Deep Technical Assessment & Gap areas identification
  - Problem Statement Identification & Design Thinking
  - Conceptualizing your Solution & Pre-Market research
  - Value Proposition & IPR
  - Solving Technical Roadblocks
- **Month – 2 [Business Aspects]**:
  - Business Model Canvas & Understanding the market
  - Pre-market research & product positioning
  - Brand Building & Marketing
  - Product-Market Fit
  - Competitive Landscape and Market Entry
- **Month – 3 [Compliances]**:
  - Company Formation, Valuation & Financial Modelling
  - Fundraising Opportunities
  - Grant Writing Sessions
  - Demo Day

### Top 10 Selected Teams
- Plaksha University
- RhoSigma Technologies
- Cyber Unbound
- Pine Wheel Labs
- Glyde
- Punjab Engineering College
- T-Link
- StockBets
- Chandigarh University
- Black Falcon
- Trade Catalyst
- Thappar University of Engineering and Technology
- Aeroinspect Solar
- Setu

This program aims to ignite entrepreneurial flair among student innovators in the Tricity region, including Panchkula, by providing them with the necessary mentorship, support, and resources to succeed in their entrepreneurial journey.",0.2730870712401055,0.7638376383763837,0.1392857142857143,0.1392857142857143,
"who is the assistant program manager at aic,isb?","The specific name of the Assistant Program Manager at AIC ISB is not provided in the available documents. However, the role involves assisting the program manager in designing, promoting, and managing the AIC ISB incubation/acceleration programs. If you need more detailed information, you might consider reaching out to AIC ISB directly through their provided contact methods.",0.0496453900709219,0.6222222222222222,0.0201484623541887,0.0201484623541887,
what is the tagline for i-venture?,"The tagline for I-Venture @ ISB is:

- **Inspire . Invest . Innovate**",0.0193548387096774,0.5454545454545454,0.0046082949308755,0.0046082949308755,
give the address of dlabs,I could not find an answer.,0.0040080160320641,0.3333333333333333,0.0,0.0,
give the address for dlabs,I could not find an answer.,0.003883495145631,0.3333333333333333,0.0,0.0,
what are bhagwan chowdhry's responsibilities at isb?,"Prof. Bhagwan Chowdhry is a prominent figure at the Indian School of Business (ISB). While the specific documents provided do not detail his exact responsibilities, we can infer his roles based on his participation in events and his general profile as an academic and thought leader. Here are some likely responsibilities:

### Academic and Teaching Responsibilities
- **Teaching Courses**: Prof. Chowdhry likely teaches courses related to finance, entrepreneurship, and leadership.
- **Curriculum Development**: He may be involved in developing and updating the curriculum to ensure it meets current academic and industry standards.

### Research and Thought Leadership
- **Research**: Conducting research in his areas of expertise, which may include finance, entrepreneurship, and economic development.
- **Publications**: Publishing research papers, articles, and books to contribute to academic knowledge and industry practices.

### Mentorship and Guidance
- **Student Mentorship**: Providing guidance and mentorship to students, particularly those interested in entrepreneurship and finance.
- **Advisory Roles**: Serving as an advisor for student projects, startups, and other academic initiatives.

### Event Participation
- **Fireside Chats and Panels**: Participating in events like the fireside chat with Upasana Kamineni Konidela, where he discusses topics related to entrepreneurship and leadership.
- **Guest Lectures**: Delivering guest lectures and participating in seminars and workshops.

### Administrative and Strategic Roles
- **Program Development**: Contributing to the development of new programs and initiatives at ISB, particularly those related to entrepreneurship and innovation.
- **Strategic Planning**: Assisting in the strategic planning and growth of ISB's various academic and extracurricular programs.

### Community and Industry Engagement
- **Industry Collaboration**: Facilitating collaborations between ISB and industry partners to enhance practical learning and research opportunities.
- **Public Speaking**: Representing ISB at various national and international forums, conferences, and public speaking engagements.

These responsibilities align with the roles typically held by senior faculty members at leading business schools. For more specific details, you might want to refer to ISB's official communications or Prof. Chowdhry's professional profile.",0.0831460674157303,0.354066985645933,0.0144175317185697,0.0144175317185697,
dlabs ceo,The CEO of DLabs at I-Venture @ ISB is Saumya Kumar. He also serves as the Director of I-Venture @ ISB.,0.0227272727272727,0.6470588235294118,0.0051020408163265,0.0051020408163265,
who is the assistant program manager at aic isb?,"The assistant program managers at AIC ISB are:

- Adarsh Naik
- Saitejeswara Reddy
- Aryan Jaiswal
- Rakshith M Chengappa
- Omkardeep Singh Bhatia",0.0105263157894736,0.238095238095238,0.002466091245376,0.002466091245376,
